"c_table","c_facet","c_cid"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1ECE""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1ECE""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1AMY""]}]}","record"
"Synapse:Protocol","{""and"": [{""source"": ""RID"", ""choices"": [""G""]}]}","record"
"Zebrafish:Cohort Analysis","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Cohort Analysis_Protocol_fkey""]}, ""RID""], ""choices"": [""G""]}]}","record"
"Synapse:Protocol Step","{""and"": [{""source"": [{""outbound"": [""Synapse"", ""Protocol Step_Protocol_fkey""]}, ""RID""], ""choices"": [""G""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""RID"", ""choices"": [""3W2""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""3W2""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""3W2""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""ZHT""]}]}","record"
"Zebrafish:Cohort Analysis","{""and"": [{""source"": [{""inbound"": [""Zebrafish"", ""Cohort_Pair_Cohort_fkey""]}, {""outbound"": [""Zebrafish"", ""Cohort_Pair_Pair_fkey""]}, ""RID""], ""choices"": [""ZHT""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_QA_Source_fkey""]}, ""RID""], ""choices"": [""ZHT""]}]}","record"
"Zebrafish:Cohort Analysis","{""and"": [{""source"": ""RID"", ""choices"": [""1DCP""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""inbound"": [""Zebrafish"", ""Cohort_Pair_Pair_fkey""]}, {""outbound"": [""Zebrafish"", ""Cohort_Pair_Cohort_fkey""]}, ""RID""], ""choices"": [""1DCP""]}]}","record"
"Synapse:Collection","{""and"": [{""source"": [{""inbound"": [""Zebrafish"", ""Cohort_Collection_Collection_fkey""]}, {""outbound"": [""Zebrafish"", ""Cohort_Collection_Cohort_fkey""]}, ""RID""], ""choices"": [""1DCP""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": [{""inbound"": [""Zebrafish"", ""Cohort_Subject_Subject_fkey""]}, {""outbound"": [""Zebrafish"", ""Cohort_Subject_Cohort_fkey""]}, ""RID""], ""choices"": [""1DCP""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""TY2""]}]}","record"
"Zebrafish:Cohort Analysis","{""and"": [{""source"": [{""inbound"": [""Zebrafish"", ""Cohort_Pair_Cohort_fkey""]}, {""outbound"": [""Zebrafish"", ""Cohort_Pair_Pair_fkey""]}, ""RID""], ""choices"": [""TY2""]}]}","record"
