"c_table","c_facet","c_cid"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""id"", ""choices"": [""3520""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:species","{""and"": [{""source"": ""RID"", ""choices"": [""6PP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}","record"
"Microscopy:Specimen","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Specimen_Species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}","record"
"Microscopy:species","{""and"": [{""source"": ""RID"", ""choices"": [""6PP""]}]}","record"
"Microscopy:Specimen","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Specimen_Species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""1VV2""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": ""RID"", ""choices"": [""1SAP""]}]}","record"
"Microscopy:slide_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""slide_comments_Slide ID_fkey""]}, ""RID""], ""choices"": [""1SAP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_Slide ID_fkey""]}, ""RID""], ""choices"": [""1SAP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""1VV2""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""id"", ""choices"": [""3520""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""id"", ""choices"": [""8788""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""30S8""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""30S8""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""id"", ""choices"": [""1139""]}]}","record"
