"c_table","c_facet"
"Protocol:Subject","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Subject_Subject_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Subject_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H98P""]}]}"
"Protocol:Figure","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Figure_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H98P""]}]}"
"Protocol:Keyword","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Keyword_Keyword_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Keyword_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H98P""]}]}"
"Protocol:Reference","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Reference_Consortium_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H98P""]}]}"
"Protocol:Protocol_Author","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Protocol_Author_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H98P""]}]}"
"RNASeq:Study","{""and"": [{""source"": ""RID"", ""choices"": [""14-3R1M""]}]}"
"RNASeq:Experiment",NULL
"RNASeq:Visualization","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Visualization_Study_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Study_Cluster_Group","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_Cluster_Group_Study_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Study_Cluster","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_Cluster_Cluster_Group_fkey""]}, {""outbound"": [""RNASeq"", ""Study_Cluster_Group_Study_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"Common:Collection","{""and"": [{""source"": [{""inbound"": [""RNASeq"", ""Sequencing_Study_Collection_Collection_RID_fkey""]}, {""outbound"": [""RNASeq"", ""Sequencing_Study_Collection_Sequencing_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Study",NULL
"RNASeq:Study_File","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_File_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Experiment","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Experiment_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Experiment","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Experiment_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Study",NULL
"RNASeq:Experiment",NULL
"RNASeq:Study","{""and"": [{""source"": ""RID"", ""choices"": [""14-3R1M""]}]}"
"RNASeq:Study_Cluster_Group","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_Cluster_Group_Study_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Visualization","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Visualization_Study_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"Protocol:Protocol","{""and"": [{""source"": ""RID"", ""choices"": [""N-H9DJ""]}]}"
"RNASeq:Experiment","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Experiment_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Study_Cluster","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_Cluster_Cluster_Group_fkey""]}, {""outbound"": [""RNASeq"", ""Study_Cluster_Group_Study_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"RNASeq:Study_File","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_File_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"Common:Collection","{""and"": [{""source"": [{""inbound"": [""RNASeq"", ""Sequencing_Study_Collection_Collection_RID_fkey""]}, {""outbound"": [""RNASeq"", ""Sequencing_Study_Collection_Sequencing_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
