"c_table","c_facet","c_cid"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""SynImgZfDsy20190620A3""], ""source"": ""*""}]}","recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""SynImgZfDsy20190620A3""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""Dsy20190620A3""], ""source"": ""*""}]}","recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""Dsy20190620A3""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""Dsy20190620A3""], ""source"": ""*""}]}","recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""Dsy20190620A3""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""SynImgZfDsy20190118A6C""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""SynImgZfDsy20190118A6C""], ""source"": ""*""}]}","recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""SynImgZfDsy20190118A6C""], ""source"": ""*""}]}","recordset"
"Zebrafish:Synaptic Pair Study","{""and"": [{""search"": [""SynImgZfDsy20190118A6C""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170927B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170505A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170503A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170503A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170503A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170503A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170526A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170526A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170526A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170526A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
